prev_hawkishness,prev_uncertainty,prev_concern,is_crisis,is_hiking,is_post_covid,chair_bernanke,chair_greenspan,chair_powell,chair_yellen,q_1,q_2,q_3,q_4,treasury_2yr_level,treasury_10yr_level,vix_level,dxy_level,breakeven_5yr_level,hy_spread_level,treasury_2yr_trend,treasury_10yr_trend,vix_trend,dxy_trend,breakeven_5yr_trend,hy_spread_trend,treasury_2yr_vol,treasury_10yr_vol,vix_vol,dxy_vol,breakeven_5yr_vol,hy_spread_vol
-0.5520283,0.023144266,-0.09033224,-0.0076208785,-0.015871901,0.0,-0.00033190206,0.0009976067,-0.000104692976,-0.00014539014,0.017239416,0.016460694,0.001654324,-0.00849504,-0.019846456,-0.08047119,-0.34174618,-0.20942967,-0.035140317,0.0,-0.0232766,-0.0017946332,0.015018826,0.00017832298,-0.03631207,0.0,-0.035554998,-0.012619034,0.00942345,0.013731884,-0.030668458,0.0
-0.5220924,0.041172266,-0.05256056,-0.0064926073,-0.016003381,0.0,-0.0008269383,0.0026765452,-9.8403434e-05,-0.00021045902,0.01670357,0.010328436,0.0014834676,-0.011027733,-0.019522432,-0.0782539,-0.20501933,-0.18755922,-0.030208921,0.0,0.011876174,0.048704732,-0.019529011,0.025364308,-0.03807328,0.0,-0.014921255,-0.024576107,0.017678019,0.08434903,-0.033718087,0.0
-0.49950576,0.0312532,-0.15203488,0.0026330778,-0.015906772,0.0,-0.0011219755,-0.001202483,-0.000106105996,0.00096029893,0.014119823,0.009457172,0.0018863282,-0.014917052,-0.03944697,-0.12665875,0.008768181,-0.31469226,-0.034203485,0.0,-0.0114362035,-0.04136331,0.014866128,0.019841686,-0.02975416,0.0,-0.029208496,-0.0065621724,-0.014028618,-0.05216141,-0.04288569,0.0
-0.49033904,-0.03764214,-0.13764445,-0.0020743506,-0.012215698,0.0,-0.0005095668,-0.0022440061,-0.00012736121,-0.0007202504,0.014040462,-0.0050455164,-0.0028028795,-0.012922354,-0.04865356,-0.078523085,-0.010331675,-0.28641838,-0.034943756,0.0,-0.012289478,-0.038464732,0.04074425,-0.016444841,-0.03802787,0.0,-0.028285688,-0.0019782772,-0.032408223,0.016008656,-0.03807831,0.0
-0.51614416,-0.043138526,-0.19108504,0.0024377601,-0.012583377,0.0,-0.0004361713,7.24915e-05,-0.00012736121,-0.00061041256,0.017388701,-0.0043935035,-0.004984044,-0.014422041,-0.07960414,-0.11209386,0.02990223,-0.2994085,-0.028685024,0.0,-0.05328788,-0.06025512,-0.11626657,-0.014221868,-0.029894512,0.0,-0.07172276,-0.005308269,-0.019139608,-0.028799525,-0.038850546,0.0
-0.51871705,0.020260828,-0.06243538,0.0008833244,-0.016290652,0.0,0.00017745297,-0.0023704953,-0.00012684768,-0.0005489992,0.015627647,-0.005641081,0.001657389,0.026705537,-0.06945551,-0.074068695,-0.31626904,-0.2352833,-0.029578565,0.0,-0.04924511,-0.04570085,-0.16418087,-0.019733569,-0.037064217,0.0,-0.080175556,-0.0065091643,-0.011552383,-0.047756355,-0.0366518,0.0
-0.56622565,0.025345018,-0.07240594,-0.0006315774,-0.015899073,0.0,-0.00039841753,0.0027626608,-0.00010469297,0.0005502511,0.015959866,-0.006258755,0.0007598475,0.027283655,-0.06592598,-0.06126396,-0.36409417,-0.24968092,-0.041559182,0.0,-0.018721398,-0.034568004,-0.014564873,-0.040966038,-0.041002586,0.0,-0.04655011,-0.013409172,-0.03377881,-0.052184813,-0.04547084,0.0
-0.49512345,0.030324724,-0.110395916,0.001405711,-0.017050803,0.0,-0.0033448625,0.0015477655,-9.0650305e-05,0.0010974007,0.017862298,-0.0036333348,0.0016559737,0.03781936,-0.05486732,-0.059243012,-0.22862907,-0.21300693,-0.013013727,0.0,0.00082578143,0.073359,-0.02654624,-0.009942131,-0.0327042,0.0,-0.062151853,-0.016606253,-0.0011536411,-0.060472794,-0.03534778,0.0
-0.46799752,0.0076447967,-0.06200394,0.0005772961,-0.015644105,0.0,0.00020170648,-0.0013146583,-0.000106105996,-0.00049292314,-0.043761525,-0.003462431,0.0017533016,-0.013754922,-0.046260215,-0.050898768,0.02327554,-0.3032858,-0.025267798,0.0,-0.0139594665,-0.018756734,0.03412213,0.02486643,-0.02354421,0.0,-0.03594251,-0.028748902,0.04788442,-0.040456887,-0.03807949,0.0
-0.49338084,-0.036056593,-0.19710653,0.001057017,-0.017857667,0.0,-0.0009947069,-0.0019383677,-0.0001282607,1.8117566e-05,-0.055378437,-0.0041611157,0.00021185036,-0.014276596,-0.06760535,-0.10859998,-0.06108754,-0.34828848,-0.011066434,0.0,0.00872915,0.043770622,-0.11876376,-0.02449128,-0.03590091,0.0,-0.056238234,-0.034767695,-0.047846317,-0.022157697,-0.039571125,0.0
-0.48372483,-0.06518425,-0.096366584,-0.001977674,-0.0111538945,0.0,-0.0005095668,-0.004738457,-0.00012684768,-0.00036153098,0.018530613,0.006216933,0.0009364196,-0.012328532,-0.050780587,-0.21656929,0.05463979,-0.33867335,-0.028900081,0.0,-0.045781463,-0.06437781,-0.019480217,-0.052754343,-0.03746494,0.0,-0.022685535,-0.041569058,-0.062323954,-6.219179e-05,-0.05658257,0.0
-0.45458087,0.015927065,-0.044549838,0.0013214927,-0.014837353,0.0,-0.0005095668,-0.0006580024,-0.00012684768,-0.0005365389,0.02028635,0.013219666,0.0009837939,-0.013236791,-0.057295993,-0.054635905,0.03857918,-0.2718853,-0.027535636,0.0,-0.0383479,-0.0023698653,-0.042084415,0.025402175,-0.021957228,0.0,-0.016310953,0.009725314,0.017854001,0.056481905,-0.038265493,0.0
-0.5120512,-0.051614873,-0.1347195,0.0062298486,-0.013260792,0.0,-0.0008729424,0.0016336171,-0.00011873276,0.0006100787,0.019493943,-0.008179974,-0.0057925866,-0.008341524,-0.06615465,-0.070311114,-0.28106484,-0.23177971,-0.020935057,0.0,-0.045512967,-0.035787933,-0.10157516,-0.020415757,-0.0404388,0.0,-0.053261023,-0.027015386,-0.02506839,-0.017876238,-0.040575806,0.0
-0.48841876,-0.017795179,-0.17481342,0.0014346611,-0.01622913,0.0,-0.00039037463,-0.0035693923,-0.00013947443,-0.0005084418,0.015950706,-0.008662258,-0.0040892162,-0.009877711,-0.06525571,-0.058343858,-0.3000578,-0.22662798,-0.025633942,0.0,-0.029460542,-0.038271133,-0.16771871,0.006208253,-0.03678055,0.0,-0.031041224,-0.036056224,-0.019671882,0.057781518,-0.03422784,0.0
-0.51272786,0.0088556465,-0.078003034,0.0034064003,-0.016346859,0.0,-0.0004566845,0.0012612657,-0.000110516645,4.919389e-05,0.018481897,-0.0079278555,0.0018524906,0.029979818,-0.041874025,-0.06041242,-0.32488912,-0.19210303,-0.012275216,0.0,0.035939552,0.0839628,0.023819396,0.004608796,-0.036394306,0.0,-0.022135627,-0.01480894,0.0153099755,0.0785082,-0.03171187,0.0
-0.58990234,-0.060783617,-0.058311876,0.00021993482,-0.012854827,0.0,-0.0013822974,-0.00018043228,-0.00014178692,-5.414134e-05,0.01897887,-0.008200021,0.001659237,0.02741081,-0.07775832,-0.06905628,-0.3603717,-0.25002477,-0.030343639,0.0,-0.025959194,-0.0049145874,-0.042530473,-0.0030536111,-0.040184803,0.0,-0.039854173,-0.019760031,0.020010756,-0.033539597,-0.042369567,0.0
-0.52805674,-0.04945128,-0.058624484,0.0006220324,-0.014698537,0.0,0.0075603737,-0.0014980498,-0.00014037392,-0.0020930425,-0.07369322,-0.007575375,0.00019505479,-0.007867165,-0.07435631,-0.07474656,-0.41669607,-0.19296551,-0.10181404,0.0,-0.0083549805,0.0017974824,-0.019009816,-0.019524975,-0.016243566,0.0,-0.01901559,-0.013591046,0.009002558,-0.025069246,-0.025952509,0.0
-0.52767795,-0.05612928,-0.11023603,0.006037264,-0.01564521,0.0,0.0050821966,-0.011599425,-0.0001403739,-0.0021201228,-0.064800076,-0.007887116,0.0034461373,-0.008612569,-0.05663336,-0.06571171,-0.48745337,0.047286063,-0.093308575,0.0,-0.024566686,-0.038002536,0.03332231,-0.028605873,-0.018401528,0.0,-0.03067191,-0.011374235,-0.028465766,-0.100612424,-0.0057138847,0.0
-0.5059609,-0.051075157,-0.13077432,0.00042891348,-0.0090840915,0.0,-0.004535339,-0.0103367455,-6.9390735e-05,-0.0012086624,0.023841368,0.007534192,0.0039047408,-0.008336864,-0.043010607,-0.06636754,-0.047991704,0.06272223,-0.0862977,0.0,-0.0058607003,-0.025229927,-0.0030743955,-0.017215492,0.04291755,0.0,-0.0048303716,0.035645925,-0.013771477,-0.019825798,0.030393125,0.0
-0.37690246,-0.010079448,-0.14261736,0.00017743337,-0.016705701,0.0,-0.005273706,-0.01693991,-0.00014178694,-0.00077828695,0.014472816,-6.255362e-05,0.0009919986,-0.010948021,-0.03212255,0.004870478,0.116646476,0.11285557,-0.15241337,0.0,-0.0062544737,-0.021842968,0.021378862,-0.009867146,-0.036240604,0.0,-0.026443368,-0.0101793455,0.11188607,0.072650686,-0.0075347596,0.0
