sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
0.2533127,-0.017854452,0.1052332,-0.011351351,-0.098300464,-0.115852,0.08100796,0.038995635,0.14539346,-0.14358126
0.22327806,-0.10063982,0.20952111,-0.01918811,-0.09503289,-0.09528236,0.10710123,0.05484963,0.15543601,-0.080666274
0.2382227,-0.08475909,0.19236493,-0.017021019,-0.06736879,-0.13763453,0.08632389,0.10081127,0.21817786,-0.07502842
0.22569256,-0.03434071,0.22980167,0.02271153,-0.13052984,-0.05928082,0.059623532,-0.04386485,0.08870376,-0.03880605
0.24024163,-0.012391657,0.18676811,0.044033438,-0.12027078,-0.0372291,0.03430648,-0.1022263,0.08347323,-0.104993
0.20975696,-0.019567728,0.13955435,0.03624758,-0.053213656,-0.056194894,0.17615607,-0.16371486,0.066448234,-0.016619302
-0.16029271,-1.128761,-0.16689163,-0.11351417,-0.044557773,0.045073807,-0.03526514,-0.016270373,0.031559452,0.012897756
0.23920853,-0.01617977,0.08685903,0.052686065,-0.035846733,-0.035846494,0.18184604,-0.10054256,0.030779287,0.023199603
0.26182234,-0.02925089,0.07737783,0.05586301,-0.06384435,-0.1145371,0.15616602,-0.047056828,0.06583565,0.0010385476
0.24813394,-0.04761958,0.08871366,0.025966216,-0.074309975,-0.10075235,0.17020775,-0.02637272,0.09827236,0.012583286
0.2650299,-0.05350578,0.09255073,0.042544633,-0.0513222,-0.059179045,0.19245641,-0.031551305,0.11523897,0.010310538
0.2821769,-0.07631868,0.110926546,0.082862176,-0.08869162,-0.042513795,0.185025,0.02468351,0.105994396,0.056832958
0.25952286,0.014624536,0.05038943,0.0017583892,-0.035167523,-0.0014058575,0.12848003,-0.046027336,0.09987698,0.013062749
0.24945037,-0.008692026,0.042312603,0.018027544,-0.021955552,-0.010280117,0.1460603,-0.0051522404,0.11688917,0.033816565
0.25411385,0.0048249364,0.00507685,0.031501584,-0.05869939,-0.042628467,0.15813744,-0.045438867,0.10533569,0.018928695
-0.17613475,-1.161903,-0.17607711,-0.122116685,-0.03294205,0.06026736,-0.048061162,-0.012381289,0.0049517527,0.024153985
0.25468218,0.007986426,-0.024726488,-0.017011072,-0.035685964,-0.033168465,0.14589363,0.017827742,0.021490887,0.070824
0.23981391,0.026648164,-0.08396399,0.021550082,-0.0383922,0.026998386,0.12474811,-0.017804835,0.009754986,0.08339396
0.2482159,0.023996592,-0.090307534,0.024081033,-0.039169513,0.027273953,0.11590298,-0.0040374883,0.017054759,0.084504575
0.26925057,0.0027933717,-0.10438206,0.042344883,-0.015161475,0.046206728,0.100501135,-0.08401734,0.0107834935,0.11689095
0.2767061,-0.0024100542,-0.053074636,0.03600369,-0.026221434,0.06523399,0.11473548,-0.07308017,0.010923222,0.11230357
0.26891887,-0.02500102,0.03050663,0.0505215,-0.0411395,-0.0028727278,0.085795045,-0.1059334,-0.037076734,0.108016476
0.27371848,0.0012056231,-0.030915242,0.05195838,-0.050694793,0.05293557,0.10712075,-0.041016687,-0.0113308355,0.13127717
0.27994758,-0.0040968955,-0.077815175,0.045926936,-0.073903985,0.061612576,0.14483243,-0.051001374,0.012395784,0.13813806
-0.19452825,-1.1492224,-0.1766807,-0.10566303,-0.02723738,0.08120343,-0.015153751,0.010774072,-0.008557115,-0.0021395124
0.28100836,-0.0006055236,-0.043095246,0.020303022,-0.04131148,0.102099344,0.085205905,-0.036710586,-0.031066973,0.12134227
0.27455384,0.0026543736,-0.061897546,0.020654209,-0.03486806,0.08729741,0.08229648,-0.01987584,-0.016405351,0.10075611
0.25944895,-0.010527909,0.050602593,0.003515523,-0.081214204,0.07446851,0.036466785,-0.011789892,-0.08307531,0.107181385
0.2556122,0.014397442,-0.02581181,0.0028441623,-0.026029037,0.098205,0.06952403,-0.03510287,-0.043810494,0.11567706
0.25370115,0.018066823,-0.0011521969,0.008147009,-0.03128624,0.075938,0.03727901,-0.0024705194,-0.053348333,0.124488726
0.2696541,0.0051210523,0.034568306,-0.011493545,-0.0153296795,0.07529651,0.0100639835,-0.053757224,-0.08336304,0.09843838
0.30137616,0.010020494,-0.017618604,0.037926473,0.005389048,0.06608415,0.032749716,0.006687887,-0.033261213,0.07735194
0.27025747,0.013249576,-0.009292653,0.02450012,-0.013656845,0.068640694,0.013126124,-0.008633353,-0.060084864,0.046386037
-0.19298694,-1.1231875,-0.1754684,-0.13438135,-0.054754518,0.07627672,-0.03994105,-0.0031834394,0.01713068,-0.011581857
0.27692062,0.0038343072,0.008571335,0.0051464103,-0.060997367,0.07854825,-0.0088186115,0.009731419,-0.08695977,-0.011085879
0.25942612,0.007384479,0.014257152,0.0045663267,-0.07468227,0.07867189,0.0018352941,-0.014173966,-0.07386006,0.021042734
0.25135463,-0.028126895,-0.010656513,0.0154163055,-0.117172934,0.040530115,-0.0022022724,0.038257077,-0.053542368,-0.005108319
0.25617534,0.016986072,-0.036783334,0.016579539,-0.10068893,0.05329582,-0.029668607,0.019419448,-0.12305829,-0.015904436
0.28171402,0.009855866,-0.025114097,0.02459941,-0.063484006,0.07368836,-0.031338625,-0.028612178,-0.120458335,0.013575137
0.26453143,0.015708089,-0.021117866,0.03928993,-0.057784244,0.03503637,-0.006634973,0.03871131,-0.08778976,-0.003447134
0.25394732,0.012991428,-0.04623571,0.060221095,-0.07973776,0.053323165,0.00235077,0.031153062,-0.118427485,-0.00086920336
